id_category,id_lang,name,description,link_rewrite,meta_title,meta_keywords,meta_description
59,2,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
59,3,"Juegos PC Usados",,juegos-pc-nuevos,,,
59,4,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
59,5,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
60,1,"Juegos PS Vita",,juegos-ps-vita,,,
60,2,"Juegos PS Vita",,juegos-ps-vita,,,
60,3,"Juegos PS Vita Usados","Juegos usados para la consola portatil PS Vita",juegos-ps-vita,"Juegos PS3 Playstation 3 Sony Play 3","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario, fifa 13, resident evil 6","Compra venta cambio de videojuegos en Venezuela precio barato"
60,4,"Juegos PS Vita",,juegos-ps-vita,,,
60,5,"Juegos PS Vita",,juegos-ps-vita,,,
61,1,Franelas,,franelas,,,
61,2,Franelas,,franelas,,,
61,3,Franelas,"Franelas, diseños originales.",franelas,"Juegos PS3 Playstation 3 Sony Play 3","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario, fifa 13, resident evil 6, assasin creed iii","Compra venta cambio de videojuegos en Venezuela precio barato"
61,4,Franelas,,franelas,,,
61,5,Franelas,,franelas,,,
62,1,"Juegos PS4 Usados",,juegos-ps4-usados,,,
62,2,"Juegos PS4 Usados",,juegos-ps4-usados,,,
62,3,"Juegos PS4 Usados","Venta de juegos usados para PS4 en excelentes condiciones",juegos-ps4-usados,"Juegos PS4",,
62,4,"Juegos PS4 Usados",,juegos-ps4-usados,,,
62,5,"Juegos PS4 Usados",,juegos-ps4-usados,,,
63,1,"Juegos Xbox One",,juegos-xbox-one,,,
63,2,"Juegos Xbox One",,juegos-xbox-one,,,
63,3,"Juegos Xbox One Nuevos","Juegos para la tercera consola de Microsoft",juegos-xbox-one,"Juegos Xbox Xbox One","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario","Compra venta cambio de videojuegos en Venezuela precio barato"
63,4,"Juegos Xbox One",,juegos-xbox-one,,,
63,5,"Juegos Xbox One",,juegos-xbox-one,,,
